,Gender,Occupational Status,Marital Status,Age Group,Monthly Income (Php),"Upon booking at a resort, which activity would you be most inclined to participate in first?",Select the activities you would participate in (Select 1 or more),How long do you expect to spend time in the following facilities [Swimming Pool],How long do you expect to spend time in the following facilities [Beach],How long do you expect to spend time in the following facilities [Recreational Room],How long do you expect to spend time in the following facilities [Spa and Wellness],How long do you expect to spend time in the following facilities [Gym and Training Area],How long do you expect to spend time in the following facilities [Sports Center],"If you have selected Swimming Pool, which activities would you participate in? (Select 1 or more)","Among the activities listed for Swimming Pool, which among the given would you prioritize?",Which items do you expect in the shower rooms prior to swimming activities (Provided that you participate in swimming)?,"If you had selected Beach/Beach Activities, which activities would you participate in? (Select 1 or more)","Among the activities listed for Beach/Beach Activities, which among the given would you prioritize?","If you had selected Recreational Room, which activities would you participate in? (Select 1 or more)","Among the activities listed for Recreational Room, which among the given would you prioritize?","If you had selected Spa and Wellness, which activities would you participate in? (Select 1 or more)","Among the activities listed for Spa and Wellness, which among the given would you prioritize?","If you had selected Gym and Training Area, which activities would you participate in? (Select 1 or more)","Among the activities listed for Gym and Training Area, which among the given would you prioritize?","If you had selected Sports Center, which activities would you participate in? (Select 1 or more)","Among the activities listed for Sports Center, which among the given would you prioritize?",Which days of the week are you most likely to check-in?,How many people do you bring along when having these activities?,How likely are you to consider paying separate entrance fees for each recreational facility you visit?,How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Swimming Pool],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Beach],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Recreational Room],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Spa and Wellness],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Gym and Training Center],How long are you willing to wait in a queue if a facility is full before considering seeking an alternative? [Sports Center],What activity do you typically engage in after participating in recreational activities?,Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Swimming Pool],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Beach],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Recreational Room],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Spa and Wellness],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Gym and Training Area],Please check all the timeframes during the day when you typically engage in these activities (Select 1 or more) [Sports Center],Do you typically eat snacks or drink beverages during these activities?,"If you have selected yes, select the snack you eat during these activities","If you have selected yes, select the drinks you would most likely take to have."
4/3/2024 22:58:56,Male,Unemployed,Single,19 - 25,"Less than 9,100",Recreational Room,"Swimming Pool, Beach/Beach Activities, Recreational Room, Gym and Training Area, Sports Center",3+ Hours,3+ Hours,3+ Hours,>1 Hour,1-2 Hours,3+ Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Soap and shampoo, Showers, Towels, Toilets/Urinals","Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Console Gaming",Table Tennis/Ping Pong,,,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Boxing (e.g., punching bag)","Weights (e.g., dumbbells, bench press)","Basketball, Tennis, Volleyball",Basketball,Saturday,4-6,Yes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,Return home/Travel back immediately,"Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM)","Afternoon (12AM-5PM), Evening (6PM-11PM)",Evening (6PM-11PM),"Morning (5AM-11AM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)",Yes,"Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)",Water
4/3/2024 23:00:06,Female,Unemployed,Single,19 - 25,"Less than 9,100",Recreational Room,"Swimming Pool, Beach/Beach Activities, Recreational Room",1-2 Hours,>1 Hour,3+ Hours,>1 Hour,>1 Hour,>1 Hour,,,,,,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey, Console Gaming",Console Gaming,,,,,,,"Friday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,30 minutes,30 minutes,20 minutes,20 minutes,Relax/Sleep in room,Afternoon (12AM-5PM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated, Non-Caffinated, Water"
4/3/2024 23:04:06,Male,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Recreational Room, Gym and Training Area, Sports Center",>1 Hour,>1 Hour,1-2 Hours,>1 Hour,1-2 Hours,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Kayaking/Paddling, Jetskiing",Jetskiing,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Console Gaming",Console Gaming,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Sauna and Steam Rooms,"Weights (e.g., dumbbells, bench press), Boxing (e.g., punching bag)","Boxing (e.g., punching bag)","Basketball, Tennis, Volleyball",Basketball,"Sunday, Friday, Saturday",7-9,Yes,20 minutes,20 minutes,+ 1 hour,20 minutes,20 minutes,20 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Morning (5AM-11AM),Morning (5AM-11AM),"Afternoon (12AM-5PM), Evening (6PM-11PM)",Morning (5AM-11AM),Morning (5AM-11AM),"Morning (5AM-11AM), Evening (6PM-11PM)",Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Caffinated, Water"
4/3/2024 23:05:28,Male,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Recreational Room, Spa and Wellness",1-2 Hours,1-2 Hours,1-2 Hours,>1 Hour,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Soap and shampoo, Showers, Towels, Wipes and Toilet Paper","Fishing, Jetskiing, Beach Swimming",Fishing,"Table Tennis/Ping Pong, Billiards, Darts, Console Gaming",Console Gaming,Sauna and Steam Rooms,Sauna and Steam Rooms,"Weights (e.g., dumbbells, bench press)","Weights (e.g., dumbbells, bench press)",Volleyball,Volleyball,"Sunday, Friday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Evening (6PM-11PM)","Morning (5AM-11AM), Evening (6PM-11PM)",Afternoon (12AM-5PM),Afternoon (12AM-5PM),Morning (5AM-11AM),Evening (6PM-11PM),Yes,"Fast Food (sandwiches, pizza, fries)","Non-Caffinated, Water"
4/3/2024 23:05:57,Male,Unemployed,Single,18 and below,"Less than 9,100",Beach,"Swimming Pool, Beach/Beach Activities",3+ Hours,3+ Hours,>1 Hour,1-2 Hours,>1 Hour,>1 Hour,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Beach Swimming",Beach Swimming,"Billiards, Darts",Billiards,Sauna and Steam Rooms,Sauna and Steam Rooms,"Weights (e.g., dumbbells, bench press)","Weights (e.g., dumbbells, bench press)","Basketball, Volleyball",Basketball,"Sunday, Wednesday, Thursday, Friday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,> 10 minutes,20 minutes,20 minutes,20 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Afternoon (12AM-5PM)","Morning (5AM-11AM), Afternoon (12AM-5PM)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)",Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)","Alcoholic, Non-Alcoholic, Caffinated, Non-Caffinated, Water"
4/3/2024 23:06:28,Female,Unemployed,Single,19 - 25,"Less than 9,100",Beach,"Swimming Pool, Beach/Beach Activities, Recreational Room",3+ Hours,3+ Hours,1-2 Hours,1-2 Hours,>1 Hour,>1 Hour,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Showers, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Jetskiing,"Table Tennis/Ping Pong, Darts, Air Hockey, Console Gaming",Console Gaming,Massage Therapy,Massage Therapy,,,,,Saturday,1-3,Yes,20 minutes,45 minutes,30 minutes,20 minutes,> 10 minutes,20 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Afternoon (12AM-5PM),Afternoon (12AM-5PM),Evening (6PM-11PM),Evening (6PM-11PM),Morning (5AM-11AM),Morning (5AM-11AM),No,,
4/3/2024 23:07:54,Female,Unemployed,Single,19 - 25,"63,700 to 109,200",Beach,"Swimming Pool, Beach/Beach Activities, Recreational Room",3+ Hours,3+ Hours,3+ Hours,1-2 Hours,>1 Hour,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Showers, Toilets/Urinals, Wipes and Toilet Paper","Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey, Console Gaming",Air Hockey,"Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)","Yoga (e.g., mat, exercise ball)","Yoga (e.g., yoga mat, exercise ball)","Tennis, Golf",Tennis,"Sunday, Friday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,30 minutes,30 minutes,30 minutes,30 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Afternoon (12AM-5PM),"Morning (5AM-11AM), Afternoon (12AM-5PM), Evening (6PM-11PM)","Afternoon (12AM-5PM), Evening (6PM-11PM)",Morning (5AM-11AM),Morning (5AM-11AM),"Morning (5AM-11AM), Afternoon (12AM-5PM)",Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Non-Caffinated, Water"
4/3/2024 23:08:00,Female,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness",>1 Hour,3+ Hours,>1 Hour,>1 Hour,>1 Hour,>1 Hour,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Toilets/Urinals, Wipes and Toilet Paper",Beach Swimming,Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey, Console Gaming",Billiards,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)",,,,,"Sunday, Friday, Saturday",1-3,No,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,,,Relax/Sleep in room,Evening (6PM-11PM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),Evening (6PM-11PM),Afternoon (12AM-5PM),Afternoon (12AM-5PM),No,,
4/3/2024 23:21:16,Male,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Gym and Training Area",>1 Hour,1-2 Hours,3+ Hours,,3+ Hours,,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Beach Swimming,"Billiards, Air Hockey, Console Gaming",Console Gaming,,,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike)","Weights (e.g., dumbbells, bench press)",,,"Sunday, Saturday",4-6,No,> 10 minutes,> 10 minutes,30 minutes,> 10 minutes,20 minutes,> 10 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Morning (5AM-11AM),Morning (5AM-11AM),Afternoon (12AM-5PM),Evening (6PM-11PM),Evening (6PM-11PM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)",Non-Alcoholic
4/3/2024 23:25:55,Female,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Sports Center",3+ Hours,3+ Hours,1-2 Hours,,,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts",Billiards,,,,,"Basketball, Volleyball",Volleyball,"Sunday, Friday, Saturday",4-6,Yes,> 10 minutes,> 10 minutes,20 minutes,20 minutes,20 minutes,45 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Evening (6PM-11PM)",Morning (5AM-11AM),Afternoon (12PM-5PM),Evening (6PM-11PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Caffinated, Water"
4/3/2024 23:27:09,Male,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Gym and Training Area, Sports Center",1-2 Hours,1-2 Hours,1-2 Hours,>1 Hour,1-2 Hours,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey",Billiards,,,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Boxing (e.g., punching bag)","Weights (e.g., dumbbells, bench press)","Basketball, Volleyball",Basketball,"Friday, Saturday",1-3,No,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Evening (6PM-11PM),Afternoon (12PM-5PM),Morning (5AM-11AM),Evening (6PM-11PM),Morning (5AM-11AM),Afternoon (12PM-5PM),Yes,"Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Water"
4/3/2024 23:28:38,Female,Part-Time,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Spa and Wellness",1-2 Hours,1-2 Hours,1-2 Hours,1-2 Hours,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Kayaking/Paddling, Jetskiing",Snorkeling/Scuba Diving,,,"Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,,,,,Friday,1-3,Yes,> 10 minutes,> 10 minutes,20 minutes,> 10 minutes,30 minutes,> 10 minutes,Relax/Sleep in room,Evening (6PM-11PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Evening (6PM-11PM),Afternoon (12PM-5PM),Afternoon (12PM-5PM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Beverages (bottled water, energy drinks, soda)","Alcoholic, Non-Alcoholic, Water"
4/3/2024 23:29:11,Male,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Sports Center",3+ Hours,3+ Hours,3+ Hours,>1 Hour,1-2 Hours,1-2 Hours,"Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals",,,,,,,,,,,Friday,4-6,No,> 10 minutes,> 10 minutes,20 minutes,30 minutes,20 minutes,20 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Evening (6PM-11PM),Afternoon (12PM-5PM),Evening (6PM-11PM),Morning (5AM-11AM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries)",Caffinated
4/3/2024 23:32:13,Male,Full-time,Single,19 - 25,"9,100 to 18,200",Swimming Pool,"Swimming Pool, Beach/Beach Activities",1-2 Hours,1-2 Hours,,,,,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing, Beach Swimming",Snorkeling/Scuba Diving,,,,,,,,,"Sunday, Friday",4-6,Yes,> 10 minutes,> 10 minutes,30 minutes,30 minutes,30 minutes,30 minutes,Return home/Travel back immediately,"Afternoon (12PM-5PM), Evening (6PM-11PM)","Afternoon (12PM-5PM), Evening (6PM-11PM)",Evening (6PM-11PM),Evening (6PM-11PM),"Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)",Afternoon (12PM-5PM),Yes,"Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)",Water
4/4/2024 0:16:55,Female,Unemployed,Single,19 - 25,"Less than 9,100",Beach,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",3+ Hours,3+ Hours,3+ Hours,3+ Hours,3+ Hours,3+ Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Jetskiing, Beach Swimming",Beach Swimming,"Table Tennis/Ping Pong, Billiards, Darts, Table Football/Foosball, Air Hockey, Console Gaming",Air Hockey,"Sauna and Steam Rooms, Massage Therapy",Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Free Space with Dance Studio Mirrors","Cardio (e.g., treadmill, stationary bike)","Basketball, Volleyball",Basketball,Sunday,1-3,Yes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,45 minutes,Relax/Sleep in room,Evening (6PM-11PM),Morning (5AM-11AM),"Afternoon (12PM-5PM), Evening (6PM-11PM)",Afternoon (12PM-5PM),Morning (5AM-11AM),"Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)",Yes,"Fast Food (sandwiches, pizza, fries), Healthy Options (yogurt, salads, fruit cakes)",Caffinated
4/4/2024 0:46:36,Male,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Spa and Wellness",3+ Hours,1-2 Hours,,>1 Hour,,,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Showers, Toilets/Urinals",Beach Swimming,Beach Swimming,,,Sauna and Steam Rooms,Sauna and Steam Rooms,,,,,Saturday,4-6,Yes,30 minutes,> 10 minutes,,> 10 minutes,,,Relax/Sleep in room,Evening (6PM-11PM),Morning (5AM-11AM),Morning (5AM-11AM),Afternoon (12PM-5PM),Morning (5AM-11AM),Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Beverages (bottled water, energy drinks, soda)","Non-Alcoholic, Water"
4/4/2024 2:20:35,Female,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Spa and Wellness",1-2 Hours,>1 Hour,>1 Hour,1-2 Hours,>1 Hour,>1 Hour,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Snorkeling/Scuba Diving, Beach Swimming",Snorkeling/Scuba Diving,"Table Tennis/Ping Pong, Table Football/Foosball, Console Gaming",Console Gaming,"Massage Therapy, Spa Treatment (e.g., facials)","Spa Treatment (e.g., facials)","Cardio (e.g., treadmill, stationary bike), Yoga (e.g., mat, exercise ball), Free Space with Dance Studio Mirrors",Free Space with dance studio mirrors,Volleyball,Volleyball,Friday,4-6,Yes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,Relax/Sleep in room,"Morning (5AM-11AM), Afternoon (12PM-5PM)",Morning (5AM-11AM),Afternoon (12PM-5PM),Evening (6PM-11PM),"Morning (5AM-11AM), Afternoon (12PM-5PM)",Morning (5AM-11AM),Yes,"Fast Food (sandwiches, pizza, fries), Confectioneries (baked goods, chocolate bars, doughnuts), Healthy Options (yogurt, salads, fruit cakes), Beverages (bottled water, energy drinks, soda)",Water
4/4/2024 4:39:33,Male,Unemployed,Single,19 - 25,"18,200 to 36,400",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Sports Center",1-2 Hours,>1 Hour,3+ Hours,1-2 Hours,,1-2 Hours,"Practice Actual Swimming Techniques (e.g., laps, backstroke), Play with Pool Toys (e.g., inflatable toys, water guns), Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Jetskiing, Beach Swimming",,"Billiards, Console Gaming",,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",,,"Cardio (e.g., treadmill, stationary bike)","Basketball, Golf",,"Thursday, Friday",4-6,No,> 10 minutes,> 10 minutes,30 minutes,> 10 minutes,> 10 minutes,> 10 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Afternoon (12PM-5PM)",Morning (5AM-11AM),"Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)","Morning (5AM-11AM), Afternoon (12PM-5PM), Evening (6PM-11PM)",Yes,"Fast Food (sandwiches, pizza, fries)","Alcoholic, Non-Alcoholic, Caffinated, Non-Caffinated, Water"
4/4/2024 7:59:27,Male,Unemployed,Single,19 - 25,"Less than 9,100",Swimming Pool,"Swimming Pool, Beach/Beach Activities, Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",3+ Hours,1-2 Hours,>1 Hour,1-2 Hours,1-2 Hours,1-2 Hours,"Relaxing in Pool (e.g., leisure, lounging in the water)","Relaxing in Pool (e.g., leisure, lounging in the water)","Soap and shampoo, Showers, Towels, Toilets/Urinals","Snorkeling/Scuba Diving, Kayaking/Paddling, Surfboarding, Jetskiing",Snorkeling/Scuba Diving,"Table Tennis/Ping Pong, Billiards",Billiards,"Sauna and Steam Rooms, Massage Therapy",Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Boxing (e.g., punching bag)","Weights (e.g., dumbbells, bench press)","Basketball, Golf, Hiking/Nature Walk",Golf,Friday,1-3,No,20 minutes,> 10 minutes,> 10 minutes,> 10 minutes,> 10 minutes,30 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Afternoon (12PM-5PM),Afternoon (12PM-5PM),Evening (6PM-11PM),Afternoon (12PM-5PM),Morning (5AM-11AM),"Morning (5AM-11AM), Afternoon (12PM-5PM)",No,,
4/4/2024 9:18:15,Female,Full-time,Single,30-45,"109,200+",Spa and Wellness,"Recreational Room, Spa and Wellness, Gym and Training Area, Sports Center",,>1 Hour,3+ Hours,1-2 Hours,1-2 Hours,1-2 Hours,,,,"Kayaking/Paddling, Beach Swimming",Kayaking/Paddling,"Billiards, Table Football/Foosball, Air Hockey",Table Football/Foosball,"Sauna and Steam Rooms, Massage Therapy, Spa Treatment (e.g., facials)",Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Yoga (e.g., mat, exercise ball), Free Space with Dance Studio Mirrors","Weights (e.g., dumbbells, bench press)",Hiking/Nature Walk,Hiking/Nature Walk,Friday,1-3,No,> 10 minutes,45 minutes,20 minutes,45 minutes,45 minutes,30 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)","Morning (5AM-11AM), Evening (6PM-11PM)","Morning (5AM-11AM), Evening (6PM-11PM)",Afternoon (12PM-5PM),Afternoon (12PM-5PM),"Morning (5AM-11AM), Afternoon (12PM-5PM)",Afternoon (12PM-5PM),No,,
4/4/2024 10:57:04,Male,Unemployed,Single,18 and below,"Less than 9,100",Gym and Training Area,Gym and Training Area,>1 Hour,>1 Hour,3+ Hours,>1 Hour,3+ Hours,>1 Hour,"Practice Actual Swimming Techniques (e.g., laps, backstroke)","Practice Actual Swimming Techniques (e.g., laps, backstroke)","Soap and shampoo, Showers, Towels, Toilets/Urinals, Wipes and Toilet Paper","Fishing, Kayaking/Paddling",Fishing,Console Gaming,Console Gaming,Massage Therapy,Massage Therapy,"Weights (e.g., dumbbells, bench press), Cardio (e.g., treadmill, stationary bike), Boxing (e.g., punching bag)","Weights (e.g., dumbbells, bench press)",Hiking/Nature Walk,Hiking/Nature Walk,"Sunday, Monday, Thursday, Saturday",None (Solo),No,10 minutes or less,10 minutes or less,1 hour or more,30 minutes,1 hour or more,30 minutes,"Eat/Dine (e.g., cafe, restaurant, bar)",Morning (5AM-11AM),Morning (5AM-11AM),Afternoon (12PM-5PM),Morning (5AM-11AM),Evening (6PM-11PM),Afternoon (12PM-5PM),Yes,"Healthy Options (yogurt, salads, fruit cakes)","Caffinated, Water"
